tweetID,tweetText,retweeted,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetdate,userID,userScreen,userName,userLocation,userTimezone,Coordinates,Language,TweetPlace,Tweetcountry,countrycode
1498444805541666818,"@AnnaDanchyshyn може бути ще власна генетика рослинки. типу вона якийсь один елемент сильніше всмоктує, ніж інший.… https://t.co/Pr4mvdW5Tl",False,0,0,Twitter Web App,2022-02-28 23:47:36+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498444711094325250,@KarinaA50125494 @marusiaNadia Ви не одна👉 досить військових дій в Україні! #StopWar,False,0,0,Twitter for Android,2022-02-28 23:47:13+00:00,1032651448952283137,UWARWGzKfKidqHc,Андрій,Кyiv Ukraine,,,uk,Ukraine,Ukraine,UA
1498444667519655938,"@Juliaera6 @Usiaslau_P @Jan883388 Блять, летять ракети, сунуть орки: ім нєнавість глаза застєлила...",False,0,45,Twitter for Android,2022-02-28 23:47:03+00:00,17633429,Searge,Searge,"Lutsk, Ukraine",,,uk,Ukraine,Ukraine,UA
1498444591585968130,Только что опубликовано фото @ Ukraine https://t.co/c1bGb4dHGI,False,0,0,Instagram,2022-02-28 23:46:45+00:00,1247416310,LPaclina,liya_lilina_ya.modnica,Черкассы,,"{'type': 'Point', 'coordinates': [32.0, 49.0]}",ru,Ukraine,Ukraine,UA
1498444568450289666,Просроченное вяличие в собственном соку https://t.co/XITRE32IFL,False,0,1,Twitter for Android,2022-02-28 23:46:39+00:00,132907794,krishtopa,Михайло 🇺🇦,Lviv,,,ru,Ukraine,Ukraine,UA
1498444560455852036,Спутниковый интернет в Украине. https://t.co/U3dOAQzOYZ,False,0,0,Twitter for Android,2022-02-28 23:46:37+00:00,207435340,StrukovSlava,Славко Смілянський,Ukraine,,,ru,Ukraine,Ukraine,UA
1498443892345163779,"В этот раз выбрала не тебя, а себя)",False,0,0,Twitter for Android,2022-02-28 23:43:58+00:00,866520840,diseased_fremd,diablo,,,,ru,Ukraine,Ukraine,UA
1498443813278392326,"@AnnaDanchyshyn ух, про сходи це стрьом, до речі. в такі моменти я дякую богові, що ми поставили нещодавно на під'ї… https://t.co/318aXx5JeO",False,0,0,Twitter Web App,2022-02-28 23:43:39+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498443368468303872,@Olenazas @a_zabelsky @stepovy_block заповідник для дикунів,False,0,2,Twitter Web App,2022-02-28 23:41:53+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498443234028183557,@MailOnline #StopPutin #StandForFreedom,False,0,0,Twitter Web App,2022-02-28 23:41:21+00:00,1453722485841559556,1648NA33E54,Oleksandr Voloshko,Київ,,,und,Ukraine,Ukraine,UA
1498443111869071361,@AnnaDanchyshyn як рятувальний засіб для таких надлишків - можна пролити грунт листя до дринажу. за можливостями по… https://t.co/o9NSHdLrXY,False,0,0,Twitter Web App,2022-02-28 23:40:52+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498443091862294530,"This is the basis of the Russians' accusations of Ukrainians of Nazism. If, in response to our questions about thei… https://t.co/BBtqJonlj8",False,0,141,Twitter for iPhone,2022-02-28 23:40:47+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498443086741057541,🆘🇺🇦A refugee from Kharkiv told us: “The train station in Kharkiv was utter chaos. We had to fight to get on the tra… https://t.co/wwoNzdWGgi,False,4,9,Twitter for iPhone,2022-02-28 23:40:46+00:00,1037956320794693632,HIA_Hungary,Hungarian Interchurch Aid/ HIA-Hungary,,,,en,Ukraine,Ukraine,UA
1498443077177987078,@dobrazlapani @ForestVolyn таких валити у військовий час.,False,0,6,Twitter for Android,2022-02-28 23:40:43+00:00,538500024,nobodysuperman,пан ПівНіч❄️який Не впав з тандема ™,село на селі,,,uk,Ukraine,Ukraine,UA
1498443071264018432,В їбєнях таким свиней годують https://t.co/rGpO1Lo7HO,False,27,83,Twitter for Android,2022-02-28 23:40:42+00:00,21739336,cgtr,Пороблено,Чернігів,,,uk,Ukraine,Ukraine,UA
1498443029442707459,"That is why these words, such as ""we do not want war"" and ""we did not choose Putin"", and especially words about the… https://t.co/ZJKwVjyXuC",False,10,155,Twitter for iPhone,2022-02-28 23:40:32+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442982558732288,"The Russians have not been able to do this for 30 years, and the whole world is suffering because of it.",False,0,131,Twitter for iPhone,2022-02-28 23:40:21+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442908822822918,"And you do NOTHING.

During this time, Ukrainians had two revolutions, one bloodier than the other - we stood again… https://t.co/t1DeXJfVMh",False,1,148,Twitter for iPhone,2022-02-28 23:40:03+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442831924498436,"Just imagine - your country has been committing war crimes for 30 years: occupying parts of Moldova, Georgia, Ukrai… https://t.co/lWGgAo3HKF",False,2,143,Twitter for iPhone,2022-02-28 23:39:45+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442825725358082,#Canada will be supplying #Ukraine with anti-tank weapons systems and upgraded ammunition to be used in response to… https://t.co/2wILyeCelV,False,1,3,Instagram,2022-02-28 23:39:44+00:00,22002722,bajanreporter,BajanReporter.com,"ÜT: 13.101833,-59.600669",,"{'type': 'Point', 'coordinates': [30.45636786, 50.42464619]}",en,Ukraine,Ukraine,UA
1498442750865416193,"What you really need to understand is the hatred of Ukrainians for Russians, which was great even before the full escalation.",False,2,138,Twitter for iPhone,2022-02-28 23:39:26+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442651166814215,"@AnnaDanchyshyn інколи листя краще не зривати, якщо листя постраждало, внаслідок надлишка речовин в ґрунті, особлив… https://t.co/KjFr9beow9",False,0,0,Twitter Web App,2022-02-28 23:39:02+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498442625610883074,@moonspiriitt Evet jelly Ukraynada savaş var mahsur kaldımxd,False,0,0,Twitter for iPhone,2022-02-28 23:38:56+00:00,773894226031611905,fatalityy_,tay,,,,tr,Ukraine,Ukraine,UA
1498442576311070722,"About so-called ""Ukrainian nazism"" and rusofobia for foreign audience.

thread",False,166,441,Twitter for iPhone,2022-02-28 23:38:44+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498442237184819205,Just posted a photo @ Ukraine Україна https://t.co/xsRC5pIKET,False,0,1,Instagram,2022-02-28 23:37:23+00:00,28073096,SanchaTrindade,Sancha.Co,,,"{'type': 'Point', 'coordinates': [30.52404972, 50.45007168]}",cs,Ukraine,Ukraine,UA
1498441943734489092,"@disarmonia як боляче дивитись на всі втрати культурного надбання українців. мені боляче, коли я згадую, що частина… https://t.co/a1WufipxI4",False,0,2,Twitter Web App,2022-02-28 23:36:13+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498441794970955780,"Сьогодні вперше з 1941 року була перша реальна бойова повітряна тривога / Today, since 1941, the year was the first… https://t.co/RuIvAtPzWk",False,0,3,Twitter for iPhone,2022-02-28 23:35:38+00:00,1002959185,ProcenkoAlexey,Alexey Procenko,Spasskaja town,,,und,Ukraine,Ukraine,UA
1498441599067566081,"Як засипати без поплавати з @TarasChmut , навіть не уявляю",False,0,0,Twitter for iPhone,2022-02-28 23:34:51+00:00,2505238866,sp1derpigz,andruha,Україна,,,uk,Ukraine,Ukraine,UA
1498441420591534082,СУКА https://t.co/0k49Ysrp0A,False,0,2,Twitter for iPhone,2022-02-28 23:34:09+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,ru,Ukraine,Ukraine,UA
1498441359891513344,"5-ий день. не хвилюємося, всі критичні колись закінчуються",False,1,3,Twitter for iPhone,2022-02-28 23:33:54+00:00,159427029,roxy_hart_,Ксенiя Аннюк,Київ,,,uk,Ukraine,Ukraine,UA
1498441289687257088,"@AnnaDanchyshyn З людьми та ж штука. А чого цей тіп капюшон накинув, а чого весь у темному, а чого так повільно йде… https://t.co/TFscIGW8Ld",False,0,1,Twitter Web App,2022-02-28 23:33:37+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498441211882921989,"BREAKING: Russia used vacuum bomb on Monday, says Ukraine’s ambassador to U.S. - REU",False,2,1,Twitter for iPhone,2022-02-28 23:33:19+00:00,1152662634161934336,cicada_news,Cicada News,USA,,,en,Ukraine,Ukraine,UA
1498441091997175813,"Денацифікатори хуєві.
Анус собі денацифіцируй.",False,16,97,Twitter for Android,2022-02-28 23:32:50+00:00,21739336,cgtr,Пороблено,Чернігів,,,uk,Ukraine,Ukraine,UA
1498440854465220608,UCRANIA. Éxodo de civiles en Lviv https://t.co/0cKrHMIiJJ via @YouTube,False,10,22,Twitter for iPhone,2022-02-28 23:31:54+00:00,50908485,mikelayestaran,mikel ayestaran,Jerusalén,,,es,Ukraine,Ukraine,UA
1498440580967419918,"Прикиньте, Кісєльов же не вірить у ту брехню, що сам говорить і таємно мріє повернутися на ICTV😂",False,3,43,Twitter for iPhone,2022-02-28 23:30:48+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498440484783538176,апдейт https://t.co/gd8ehxP9wU,False,2,27,Twitter Web App,2022-02-28 23:30:25+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,ru,Ukraine,Ukraine,UA
1498440371604439040,@afigenen Я помилилася то Кісєльов. Я їх плутаю😅😅😅😅,False,0,0,Twitter for iPhone,2022-02-28 23:29:58+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498439869009432577,https://t.co/u3jmYC9ETc,False,0,0,Twitter for Android,2022-02-28 23:27:59+00:00,2388955254,SergiyDuras,Sergiy Duras,"Lviv, Ukraine",,,und,Ukraine,Ukraine,UA
1498439774255857666,"Прикрутив скотчем каліматор і тепер ти вбивця
Я так заржав, що розбудив кота",False,0,3,Twitter for Android,2022-02-28 23:27:36+00:00,248842213,Sten_te,Той самий,Тернопіль,,,uk,Ukraine,Ukraine,UA
1498439705419034633,@nakipeloua Після війни у нас будуть в містах збудовані справжні пам'ятники героям,False,0,2,Twitter Web App,2022-02-28 23:27:20+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498439705406357509,"Putin ha logrado con su ataque a #ucrania algo que parecía imposible: la respuesta unida de la UE 

#RussiaUkraine",False,60,457,Twitter for iPhone,2022-02-28 23:27:20+00:00,50908485,mikelayestaran,mikel ayestaran,Jerusalén,,,es,Ukraine,Ukraine,UA
1498439670128066566,"Ну шо? 
Скільки разів за сьогодні сказали: «щоб ти здох?» «путін - хуйло» і тд?",False,0,0,Twitter for iPhone,2022-02-28 23:27:11+00:00,1494405845882445835,dima_hladii,український кіт,Україна,,,uk,Ukraine,Ukraine,UA
1498439614557732865,@David_Leavitt @ukrainianviking Omg this is ❤️. I think that would be a nice idea to make wall calendars with these… https://t.co/2SkmGvlZD6,False,0,1,Twitter for iPhone,2022-02-28 23:26:58+00:00,3548114489,pepperonicon,Conchita Pepperoni,,,,en,Ukraine,Ukraine,UA
1498439596773937160,Вперше за тиждень регочу як кінь https://t.co/7iEMnO66bL,False,0,0,Twitter for Android,2022-02-28 23:26:54+00:00,132907794,krishtopa,Михайло 🇺🇦,Lviv,,,uk,Ukraine,Ukraine,UA
1498439516310417410,Я ору просто https://t.co/CHcAa3hGNP,False,17,18,Twitter for Android,2022-02-28 23:26:35+00:00,1171036072966545408,_tredecim_,Thirteen Bitcoins,Харків,,,ru,Ukraine,Ukraine,UA
1498439406860054540,"#43909
Vynohradivs'kyi district, Zakarpattia Oblast, Ukraine
map: https://t.co/t5CwdiLdKD https://t.co/fl559Aev1t",False,2,6,Big Planet Earth,2022-02-28 23:26:08+00:00,1959974761,BPEarth,Big Planet Earth,,,"{'type': 'Point', 'coordinates': [23.05279378, 48.23043961]}",und,Ukraine,Ukraine,UA
1498439385804595200,"@arrdente @s_novosad Тому, Сірьож, споко:)",False,0,0,Twitter for iPhone,2022-02-28 23:26:03+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498439371846041613,"Míst, kde se najíst, je tedy méně, ale vaří tam pořád dobře. :-) https://t.co/qiSXHPMly7",False,0,2,Twitter for Android,2022-02-28 23:26:00+00:00,15927881,karpaty,Karpaty Ukrajina,Zakarpatí.cz / Uzhorod.net,,,cs,Ukraine,Ukraine,UA
1498438970908319745,"@AnnaDanchyshyn Краще підстрахуватись, аніж потім ловити снаряди від кацапських бляшанок",False,0,1,Twitter Web App,2022-02-28 23:24:24+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498438765676802054,@arstotzia а щось змінилось?,False,0,13,Twitter Web App,2022-02-28 23:23:36+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498438660026511360,Rusia ve a la OTAN como una organización afín que defiende los intereses de los 🇺🇸 en la región. Si Ucrania formase… https://t.co/xSFWRUGMdP,False,1,2,Twitter for Android,2022-02-28 23:23:10+00:00,336822147,juls_69,EL AZTECA..#RedAMLO,"Paris, Ile-de-France, France",,,es,Ukraine,Ukraine,UA
1498438565243637764,"So true :
🔥
« A real pandemic stops any war 
Any war stops a fake pandemic »
💉
« une vraie épidémie arrête toute gu… https://t.co/7EEICOMzA7",False,24,59,Twitter for iPhone,2022-02-28 23:22:48+00:00,269809161,David_vanH,David van Hemelryck 🇫🇷,Exilé politique,,,fr,Ukraine,Ukraine,UA
1498438508020649988,@gasparcetune @AlertaNews24 This girl died today after terrible shelling in Kharkiv ((( Russian oligarchs are scare… https://t.co/aH7A8et2le,False,0,3,Twitter for iPhone,2022-02-28 23:22:34+00:00,1225016456758398976,LSynkovska,Lana Synkovska,Catch me if you can,,,en,Ukraine,Ukraine,UA
1498438458561503232,"The International Criminal Court in The Hague opens an investigation into Russia’s alleged war crimes.

“There is a… https://t.co/Icaor1P28W",False,973,2890,Twitter for iPhone,2022-02-28 23:22:22+00:00,1091409575343992832,mrsorokaa,Oleksiy Sorokin,"Kyiv, Ukraine",,,en,Ukraine,Ukraine,UA
1498438413749526540,"@kumaramitosh @narendramodi @PMOIndia @dpa_mea @IndiainUkraine @rajnathsingh @AmitShah Yes sir,we are stuck here in… https://t.co/pNLIGCP3Bf",False,0,0,Twitter for Android,2022-02-28 23:22:12+00:00,1496035824164646912,MahfuzA33497068,Mahfuz Alam,,,,en,Ukraine,Ukraine,UA
1498438385131614209,Die ukrainischen Betreiber haben die Kommunikation mit den Besetzern unterbrochen: Die ukrainischen Betreiber haben… https://t.co/ZMt4kZD3tN,False,0,0,dlvr.it,2022-02-28 23:22:05+00:00,56989574,ukraineforum,Ukraineforum,Kiew,,"{'type': 'Point', 'coordinates': [30.52349099, 50.45034932]}",de,Ukraine,Ukraine,UA
1498438330270294021,Většina restaurací a kaváren v centru  Lvova je zavřená. V těch několika otevřených jsou buď davy lidí nebo jsou př… https://t.co/bn3s4UloO0,False,0,4,Twitter for Android,2022-02-28 23:21:52+00:00,15927881,karpaty,Karpaty Ukrajina,Zakarpatí.cz / Uzhorod.net,,,cs,Ukraine,Ukraine,UA
1498438309038673920,🆘🇺🇦🇭🇺 https://t.co/55ejQao6bj join us in our response! We are one of the very few already responding to the crisis… https://t.co/eNewXrcfMF,False,1,0,Twitter for iPhone,2022-02-28 23:21:47+00:00,1037956320794693632,HIA_Hungary,Hungarian Interchurch Aid/ HIA-Hungary,,,,en,Ukraine,Ukraine,UA
1498438015060000769,"У вас є думки, чому мадяри такі мразі ? Через Берегово ?",False,0,1,Twitter for Android,2022-02-28 23:20:37+00:00,248842213,Sten_te,Той самий,Тернопіль,,,uk,Ukraine,Ukraine,UA
1498437660725190658,"@Roman_Yhnovec То же, что и русский военный корабль…",False,0,1,Twitter for iPhone,2022-02-28 23:19:12+00:00,14384789,berest770,David,Dnipro/Kyiv,,,ru,Ukraine,Ukraine,UA
1498437552818298886,@_evildill Сукхахаха,False,0,0,Twitter for iPhone,2022-02-28 23:18:46+00:00,1295255232923000832,nebydlo_,Чаєлюбне небидло (сорі за тавтологію),"Kyiv, Ukraine",,,ru,Ukraine,Ukraine,UA
1498437429547655177,@Joker__UA @food__junta Він полюбляє страпони,False,0,4,Twitter for Android,2022-02-28 23:18:17+00:00,54493013,jaxx_vb,ДіджиЗСУталізатор,"Ukraine, Kyiv",,,uk,Ukraine,Ukraine,UA
1498437190120054785,@verkhovna_rada #StandForFreedom,False,0,0,Twitter for Android,2022-02-28 23:17:20+00:00,1453722485841559556,1648NA33E54,Oleksandr Voloshko,Київ,,,und,Ukraine,Ukraine,UA
1498437121006260227,@s_novosad Це може бути фейки для своїх,False,0,0,Twitter for iPhone,2022-02-28 23:17:03+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498436869083869186,"これが現実😵‍💫
#赤ちゃん
#ウクライナ
#戦争
#ロシア
#プーチン
#ボグダン https://t.co/ai2jXM1siX",False,110,309,Twitter for iPhone,2022-02-28 23:16:03+00:00,1498194039748837376,parkhomenko_bog,🇺🇦 パルホメンコ・ボグダン Parkhomenko Bogdan,Ukraine,,,ja,Ukraine,Ukraine,UA
1498436738838310914,"@flaaash_baaack Дякую!❤️Вони хочуть тепловізори брати, тож актуально😌",False,0,1,Twitter for iPhone,2022-02-28 23:15:32+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498436591374585857,"May #Peace be on #earth, may peace be on #Ukraine. @ Ukraine https://t.co/NRNscywtix",False,0,0,Instagram,2022-02-28 23:14:57+00:00,314501163,KiliEagle,John Leonard Minja,"Arusha, Tanzania, East Africa.",,"{'type': 'Point', 'coordinates': [32.0, 49.0]}",en,Ukraine,Ukraine,UA
1498436467072327689,"Скоро у росіян маслєніца.

Останній шанс зпалити своє чучєло.",False,46,155,Twitter for Android,2022-02-28 23:14:28+00:00,21739336,cgtr,Пороблено,Чернігів,,,uk,Ukraine,Ukraine,UA
1498436426274418690,"@ella_z_frella Самій цікаво, ніби доньки були",False,0,2,Twitter for iPhone,2022-02-28 23:14:18+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498436320263348224,"@Zvezdapoimeni Хз на скільки це правда, але я дуже хтіла пожартувати🤣 https://t.co/QRYbRzcsLW",False,0,1,Twitter for iPhone,2022-02-28 23:13:53+00:00,622359443,aira_shepard,commander shepard 🚀,Ukraine,,,uk,Ukraine,Ukraine,UA
1498436298335424512,anyone wanna profess their love for me before we die from nukes?,False,0,3,Twitter for iPhone,2022-02-28 23:13:47+00:00,1252395777676021761,IanPrchlik,Ian Prchlik,"Oakland, CA",,,en,Ukraine,Ukraine,UA
