,username,description,location,hashtags,text
13,ronaldo17170150,I'm all into sports. @cristiano,,"['Riyadhseason', 'موسم_الرياض']","25 February, the night of Kuwait in #Riyadhseason. En event to celebrate the day of freeing Kuwait in Boulevard city ✨👌🏼 #موسم_الرياض https://t.co/1b9F2ncdto"
14,Mistres93352667,Hi im CHUBBS 25 years old! Im doing relaxing Massage/ Hammamgrabi and free shaving! Available from 1:00PM to 12:30 night❤️💋,Al Malaz (inshara jamea),"['massage_bodytobody', 'riyadhvipmassage', 'massagetherapist', 'riyadhdating', 'massage_in_riyadh', 'RiyadhSeason', 'hammammagrabi', 'riyadh_Fullbodymassage', 'سالب_الرياض_مبادل_الرياض']","Hello.! Iam available for massage today‼️‼️ set an appointment now❤️

Chat me: 05-450-458-44
#massage_bodytobody #riyadhvipmassage 
#massagetherapist #riyadhdating 
#massage_in_riyadh #RiyadhSeason #hammammagrabi #riyadh_Fullbodymassage #سالب_الرياض_مبادل_الرياض https://t.co/uG4SLXzPXd"
15,badr2876,من لم يشعر بصمتك لن يفهم حديثك!,,"['SaudiArabia', 'RiyadhSeason']","Entertainment in #SaudiArabia is in high level and quality thanks to our leadership 
#RiyadhSeason Imagine more! https://t.co/vNcOpjH5se https://t.co/cgZZUQ0b9T"
16,Musab2045M,interested in politics and economics.,"Tabuk, Kingdom of Saudi Arabia","['Riyadhseason', 'موسم_الرياض']","#Riyadhseason continues to amaze us, there are many events yet to start and we are very excited 👏🏻😍🇸🇦
#موسم_الرياض https://t.co/TKQeHJs7RR"
17,miraymano,,"Riyadh, Kingdom of Saudi Arabia","['MIRAYMANO', 'MYM', 'SaraIntabi', 'WoolCoatAbaya', 'RiyadhOasis', 'RiyadhSeason']","TIMELESS LUXURY:
Explore the luxury and shop winter’s most-wanted style that is hard to miss.

Designer – SARA INTABI

Tap the link in our bio to shop #MIRAYMANO

#MYM #SaraIntabi #WoolCoatAbaya #RiyadhOasis #RiyadhSeason https://t.co/QxxOYAPa2I"
18,k_haledabdullah,A guy who aspires to be the best in everything 😌,,['RiyadhSeason'],#RiyadhSeason has become the first destination for those looking for entertainment. https://t.co/jLJYqffm0s
19,yasser_madkhli,"كاتب / writer
رئيس مجلس إدارة @msrhkaef",المملكة العربية السعودية,['last2shows'],"Last 2 chances to see @KanYamaKanShow as part of the @RiyadhSeason 
For now it’s our final countdown!…
#last2shows #kanyamakan #riyadhseason #tuesdayvibe https://t.co/KYWxMjc3xq"
20,Japs92804708,"Massage therapist here at riyadh
watsapp 0541093846  message my watsapp
shaving and moroccan bath also available","الرياض, المملكة العربية السعود","['Riyadhfullservice', 'Riyadh', 'massage_in_riyadh', 'riyadh_massage_vip', 'riyadhmassage', 'MassagesRiyadh', 'RiyadhSeason', 'massage_in_riyadh']","0534162762

Are u Tired? Time to Relax 

Book yours !

Shaving  for today if you avail our vip... massage with morrocan bath ..for 300

#Riyadhfullservice #Riyadh
#massage_in_riyadh  #riyadh_massage_vip
#riyadhmassage  #MassagesRiyadh
#RiyadhSeason #massage_in_riyadh https://t.co/uekvecmEUy"
21,chinonsoamara0,,,"['Riyadh_season', 'Riyadhfullservice', 'riyadhmassage', 'Riyadh', 'riyadh_Fullbodymassage', 'riyadhvipmassage', 'RiyadhSeason', 'riyadhbodytobodyMassage', 'Riyadh_bodymassage', 'riyadhdating', 'Riyadh_bodymassag']","+966593956879 FOR DECENT AND HAPPY ENDING SERVICE WHATSAPP ME.  +966593956879
#Riyadh_season 
#Riyadhfullservice 
#riyadhmassage 
#Riyadh 
#riyadh_Fullbodymassage 
#riyadhvipmassage 
#RiyadhSeason 
#riyadhbodytobodyMassage 
#Riyadh_bodymassage 
#riyadhdating 
#Riyadh_bodymassag https://t.co/jMmw70rzhG"
22,miraymano,,"Riyadh, Kingdom of Saudi Arabia","['MIRAYMANO', 'MYM', 'NabilaNazer', 'CottonAbaya', 'RiyadhOasis', 'RiyadhSeason']","ELEVATED ESSENTIALS:
Evoke a relaxed yet polished silhouette with this cotton abaya in light gray.

Designer – NABILA NAZER

Tap the link in our bio to shop #MIRAYMANO

#MYM #NabilaNazer #CottonAbaya #RiyadhOasis #RiyadhSeason https://t.co/4QU3HFyHH3"
23,KanYamaKanShow,"Global Theatrical Premiere, Riyadh From Feb 4th 2022. A U.K/Saudi Production.",Riyadh,"['kanyamakan', 'riyadhseason', 'theatre', 'storytelling', 'lastshow']","Today is our last performance of @KanYamaKanShow as part of @RiyadhSeason 2022
One last chance to catch the magic of our storytelling and we salute all our wonderful audiences over the last few weeks in Riyadh! #kanyamakan #riyadhseason #theatre #storytelling #lastshow https://t.co/Bg97geeZST"
24,AlkhaldiShaman,"entertainment lover, I share this love with all of you 🎥🎭🤹🏻‍♂️🎪🎟🎞","Riyadh, Kingdom of Saudi Arabi",['RiyadhSeason'],"The Mystery Museum  has 80 surprisingly fun activities and experiences that will shock your senses and baffle your imaginations.
#RiyadhSeason https://t.co/4MXNuTcpcC"
25,N_massager259,Available 24/7 For Massage 💯,,"['Riyadhfullservice', 'riyadhhmassagecenter', 'riyadh_massage_vip', 'RiyadhSeason', 'bodytobodymassage', 'RIYADH_VIP_MASSAGE', 'Riyadh', 'riyadhbodytobodyMassage', 'riyadh_Fullbodymassage']","New Sexy Massager in Riyadh , I’m available 24/7🥰🌹 +1 (201)383-5851

#Riyadhfullservice  
#riyadhhmassagecenter
#riyadh_massage_vip
#RiyadhSeason 
#bodytobodymassage 
#RIYADH_VIP_MASSAGE 
#Riyadh 
#riyadhbodytobodyMassage 
#riyadh_Fullbodymassage https://t.co/JULUrmuTlo"
26,KanYamaKanShow,"Global Theatrical Premiere, Riyadh From Feb 4th 2022. A U.K/Saudi Production.",Riyadh,"['last2shows', 'kanyamakan', 'riyadhseason', 'tuesdayvibe']","Last 2 chances to see @KanYamaKanShow as part of the @RiyadhSeason 
For now it’s our final countdown!…
#last2shows #kanyamakan #riyadhseason #tuesdayvibe https://t.co/KYWxMjc3xq"
27,Poks49705435,"Massage therapist here at riyadh
watsapp 0541093846
no home services",Riyadh ,"['riyadh_massage', 'riyadh_Fullbodymassage', 'massageinRiyadh', 'riyadh_Fullbodymassage', 'Riyadhfullservice', 'RiyadhSeason']","Massage with morrocan batha
Vip  room free shaving

Masssge.
Hamam magrabi:.-:
Morrocan bath

Whatsapp me:👇👇👇
0541093846

❌no home service❌

#riyadh_massage #riyadh_Fullbodymassage
#massageinRiyadh #riyadh_Fullbodymassage #Riyadhfullservice #RiyadhSeason https://t.co/GoydZebMx4"
28,Zainlim1,مساج - حمام مغربي,al yarmouk riyadh ,"['RIYADHSEASON', 'followback', 'retweet', 'WhatsApp', 'negative_riyadh']","Available now
Call me❤❤
Follow me❤❤
Wattsapp me❤❤
https://t.co/z19xdrsLk2
https://t.co/z19xdrsLk2
٠٥٤٩٣٩٩٢٣١
٠٥٤٩٣٩٩٢٣١
#RIYADHSEASON 
#followback 
#retweet 
#WhatsApp 
#negative_riyadh https://t.co/VRj5JPAgWV"
29,jam88142182,#Massage_Riyadh,Riyadh,"['Riyadhfullservice', 'RiyadhSeason', 'MassagesRiyadh', 'riyadhmassage']","0533915943

𝘎𝘖𝘖𝘋 𝘔𝘈𝘚𝘚𝘈𝘎𝘌 !!

#Riyadhfullservice #RiyadhSeason 
#MassagesRiyadh #riyadhmassage https://t.co/OPvQpqvoCw"
30,naiif_a32,Creator 🎥interested in Saudi  future & Projects  #موسم_الرياض .#RiyadhSeason.,Saudi Arabia. Riyadh.  ,"['RiyadhSeason', 'موسم_الرياض']","Saudi Arabia will be celebrating Founding Day on February 22nd, and if you came to Riyadh Boulevard or Winter Wonderland wearing a traditional dress you'll be granted free entry
#RiyadhSeason #موسم_الرياض https://t.co/CGnNz6cLc3"
31,waleed1416i,The Art of Music / Always the 1st. #BTS,Kingdom of Saudi Arabia,"['موسم_الرياض', 'RiyadhSeason']","In 22 February, entering the Boulevard &amp; Winter Wonder Land will be free for everyone who wears The Saudi Founding Day's outfit 🇸🇦🇸🇦✨👌🏼 I'm not gonna miss that opportunity for sure. #موسم_الرياض #RiyadhSeason https://t.co/pIr0vCPuiC"
32,ana198189,وطني خط أحمر الباقين مع نفسهم عسكري #الرياض عاصمة العالم #ينبع عاصمة القلب,ينبع الصناعية,['WinterWonderland'],"A dedicated celebration hall in #WinterWonderland for your child's special day 🥳

Now you can personalize your kid's party in four wonderful themes and enjoy watching your child jumps out of joy 🎉

#RiyadhSeason"
33,hani0ss,,Kingdom of Saudi Arabia,['RiyadhSeason'],#RiyadhSeason is wonderful and has variety of Choices for all visitors I liked visiting Oasis this year  @RiyadhSeason https://t.co/9hQy0m2XTH
34,MassageOrHammam,#MassageRiyadh,Kingdom of Saudi Arabia,"['riyadhmassage', 'massage_vip_riyadh', 'اكسبلور_explore', 'massage_in_riyadh', 'AlHilal', 'RiyadhSeason', 'WinterWonderland']","Massage or Morrocan Bath! 

Whatsapp: ٠٥٤٥١٩٨٤٢٩

#riyadhmassage 
#massage_vip_riyadh 
#اكسبلور_explore 
#massage_in_riyadh 
#AlHilal 
#RiyadhSeason  #WinterWonderland https://t.co/w6GfNz01Bd"
35,Japs92804708,"Massage therapist here at riyadh
watsapp 0541093846  message my watsapp
shaving and moroccan bath also available","الرياض, المملكة العربية السعود","['Riyadhfullservice', 'Riyadh', 'massage_in_riyadh', 'riyadh_massage_vip', 'riyadhmassage', 'MassagesRiyadh', 'RiyadhSeason', 'massage_in_riyadh']","0541093846

Are u Tired? Time to Relax 

Book yours !

Shaving  for free today if you avail our vip... massage with morrocan bath ..for 350 sr

#Riyadhfullservice #Riyadh
#massage_in_riyadh  #riyadh_massage_vip
#riyadhmassage  #MassagesRiyadh
#RiyadhSeason #massage_in_riyadh https://t.co/9UlwwwjbkF"
36,Assihrr,عاصيّ 🐎 @AlYamamah_Uni,"Riyadh, Kingdom of Saudi Arabia","['موسم_الرياض', 'RiyadhSeason', 'بوليفارد_رياض_سيتي', 'BoulevardRiyadhCity', 'قصبة', 'مطاعم_الرياض', 'كافيهات_الرياض']","Morocco vibes 🎵
#موسم_الرياض #RiyadhSeason 
#بوليفارد_رياض_سيتي #BoulevardRiyadhCity #قصبة 
#مطاعم_الرياض #كافيهات_الرياض https://t.co/SBIW9sbdV3"
37,kaald1941,,,['WinterWonderland'],"A dedicated celebration hall in #WinterWonderland for your child's special day 🥳

Now you can personalize your kid's party in four wonderful themes and enjoy watching your child jumps out of joy 🎉

#RiyadhSeason"
38,abdulrahmanjoum,,,['RiyadhSeason'],A quick tour to The Boulevard #RiyadhSeason https://t.co/VqVVldn0jm
39,aibeelicious,"Sexy-chubby 😋
Nurse 🇵🇭
Traveller 🇸🇦🇪🇬🇦🇪🇶🇦🇧🇭🇺🇸🇹🇷
Dancer🔊📢🎶
Postcrosser 💌📬
Photographer 📷📸","Dammam, KSA","['winterwonderland', 'riyadhwinterwonderland', 'riyadhseason', 'riyadh', 'riyadhcity', 'ksa', 'wintervibes', 'winter2022', 'feb2022', 'aibeelicious', 'aibeentures', 'aibee', 'riyadhtrip']",#winterwonderland #riyadhwinterwonderland #riyadhseason #riyadh #riyadhcity #ksa #wintervibes #winter2022 #feb2022 #aibeelicious #aibeentures #aibee #riyadhtrip @ Riyadh Winter Wonderland https://t.co/XrLa0ktnNv
40,isnatch_,"Sociologist Studend, and care about others things.",Kingdom of Saudi Arabia,['Riyadhseason'],Great variety and different entertainment areas all in the #Riyadhseason. https://t.co/DRNjgyO90r
41,aibeelicious,"Sexy-chubby 😋
Nurse 🇵🇭
Traveller 🇸🇦🇪🇬🇦🇪🇶🇦🇧🇭🇺🇸🇹🇷
Dancer🔊📢🎶
Postcrosser 💌📬
Photographer 📷📸","Dammam, KSA","['winterwonderland', 'riyadhwinterwonderland', 'riyadhseason', 'riyadh', 'riyadhcity', 'ksa', 'wintervibes', 'winter2022', 'feb2022', 'aibeelicious', 'aibeentures', 'aibee', 'riyadhtrip']",#winterwonderland #riyadhwinterwonderland #riyadhseason #riyadh #riyadhcity #ksa #wintervibes #winter2022 #feb2022 #aibeelicious #aibeentures #aibee #riyadhtrip @ Riyadh Winter Wonderland https://t.co/0C2qU5JlY5
42,ciossaee,"ambivert ●●● ERnurse ●●● ARMY💜 ●●● currently in DMM // oh & yea, my twts are mostly random rants. scroll down at ur own risk--ig: https://t.co/sC7xUPumHv","ZC, Philippines","['ofwdiaries', 'ofwlife', 'igphilippines', 'igfun', 'exploresaudi', 'riyadhseason', 'winterwonderlandriyadh']","𝕔𝕠𝕫' 𝕓𝕖𝕚𝕟𝕘 𝕙𝕒𝕡𝕡𝕪 𝕟𝕖𝕧𝕖𝕣 𝕘𝕠𝕖𝕤 𝕠𝕦𝕥 𝕠𝕗 𝕤𝕥𝕪𝕝𝕖...㋡
.
.
.
.
.
.
.
#ofwdiaries #ofwlife🇵🇭 
#igphilippines #igfun
#exploresaudi
#riyadhseason
#winterwonderlandriyadh @ Riyadh Winter Wonderland https://t.co/adnn6A6rd9"
43,mohammedtandja,"'Sereh gabeh wa soyini an danŋa, xa horeh ñiāna a camben wureh.' - A Soninkeh proverb 😜",I'm right here,"['RiyadhSeason', 'MiddleBeast']","@KSAExpo2020 Shame on you 🇸🇦#RiyadhSeason #MiddleBeast @Turki_alalshikh @KSAMOFA @KingSalman @TurkiHAlhamad1 @70sul cc @arabtimes_ 
Bilaad-ul-Haramayn🤡 https://t.co/7z9gMt52AN"
44,AlkhaldiShaman,"entertainment lover, I share this love with all of you 🎥🎭🤹🏻‍♂️🎪🎟🎞","Riyadh, Kingdom of Saudi Arabi","['Museum', 'RiyadhSeason']","At the Mystery #Museum you will have an amazing journey and things are not always what they seem.

#RiyadhSeason https://t.co/R2hEGKxl8b"
45,D2nte,Y A S S E R,"Jazan, Kingdom of Saudi Arabia","['onemanarmy', 'saudipowerlifting', 'riyadhseason', 'موسم_الرياض', 'fitnessmotivation', 'bodybuilding', 'lifestyle', 'sport', 'likeforlikealways', 'following', 'ufc', 'boxing', 'model', 'photography', 'floger', 'onepiece']","It’s what it’s 
#onemanarmy #saudipowerlifting #riyadhseason #موسم_الرياض #fitnessmotivation #bodybuilding #lifestyle #sport #likeforlikealways #following #ufc #boxing #model #photography #floger #onepiece https://t.co/WK6h0ZvQqB"
46,EKHNews_EN,The official account of @AlEkhbariyaTV News Channel in English,Saudi Arabia ,"['RiyadhSeason', 'EKHNews_EN']","The #RiyadhSeason entertainment program has achieved 4 unprecedented record number in the Guinness World Records, which kicked off four months ago, through a variety of entertainment activities such as games, exhibitions, and concerts.

#EKHNews_EN https://t.co/NbIlakURLK"
47,AlaziqAlzailaie,شركة العزق والزيلعي محاسبون قانونيون متخصصة  في المراجعة  والضرائب والاستشارات والمحاسبة القضائية ونقدم خدماتنا  في جميع مناطق المملكة,"Riyadh, Jeddah, Dammam, Abha","['inflation', 'ihacpa', 'zatca', 'iapa', 'saudivision2030', 'saudiarabia', 'jeddah', 'riyadh', 'riyadhseason', 'socpa', 'tax', 'زاتكا', 'inflation']","According to official Saudi data, Saudi Arabia’s annual #inflation rate is unchanged from December 2021,s figure and stabilizes in January at 1.2 percent.

#ihacpa #zatca #iapa #saudivision2030 #saudiarabia #jeddah #riyadh #riyadhseason #socpa #tax #زاتكا  #inflation"
48,iamstarofriyadh,⭐️DECENT and CLASSY guy for SAME ⭐️ I AM DIFFERENT KEEP THAT IN MIND ⭐️QUALITY over QUANTITY #riyadh #ksa #twink #massage #asian #sweetboy #koreanstyle #cute,"Riyadh, Kingdom of Saudi Arabia","['ValentinesDay2022', 'ValentinesDay', 'riyadh', 'ksa', 'olaya', 'asian', 'fashionstyle', 'arab', 'RiyadhSeason', 'SaudiArabia']","Happy Valentine’s Day. ❤️❤️
Happy Birthday. 🎂🎂

#ValentinesDay2022 #ValentinesDay #riyadh #ksa #olaya #asian #fashionstyle #arab #RiyadhSeason #SaudiArabia https://t.co/iBWRQIxCSz"
49,wsam_aljbaly,الجيش المصري هوه حامي الارض والعرض بعد الله /  حسابي الاصلي تم تقييده  @JasrFwaz,,"['FlyForLess', 'RiyadhSeason', 'Cairo']","You can now #FlyForLess to #RiyadhSeason starting from EGP 1,999* 
Book now on https://t.co/bm0EO8jGDW and fly to #Cairo to #Riyadh on #flyadeal Saudi Arabia’s Everyday Low Fares airline 🇪🇬✈️🇸🇦
*Seats Limited
*1 way fare includes 7kg carry-on bag, 15kg check-in bag &amp; light meal https://t.co/hj95sUAC64"
50,miraymano,,"Riyadh, Kingdom of Saudi Arabia","['MIRAYMANO', 'MYM', 'Charah', 'CharahAbaya', 'RiyadhOasis', 'RiyadhSeason']","BRIGHT IDEA:
Take dressing to the next level with mood-boosting styles you can wear from desk to dinner.

Designer – CHARAH

Tap the link in our bio to shop #MIRAYMANO

#MYM #Charah #CharahAbaya #RiyadhOasis #RiyadhSeason https://t.co/a1YE775C5a"
51,Tc2AM,An aspiring artist. I believe happiness depends upon ourselves.,Riyadh,['RiyadhSeason'],"On February 25, many Kuwaiti singers will throw a concert in #RiyadhSeason. The season is getting better and better everyday 😍🥳 https://t.co/iAzegbUvXJ"
52,naiif_a32,Creator 🎥interested in Saudi  future & Projects  #موسم_الرياض .#RiyadhSeason.,Saudi Arabia. Riyadh.  ,"['موسم_الرياض', 'RiyadhSeason']","If you love adventures and fair nothing? You should try these games in Riyadh Boulevard🔥🔥🔥 
#موسم_الرياض #RiyadhSeason  https://t.co/gE2pwM8OFQ"
53,RehamALnumeiR,"Your life is your garden and ur thoughts are ur seeds,so if ur life isn't awesome u must be watering the weeds!💐
🎶-💙منقذة الفن العربي
@elissakh Fan account","Riyadh, kingdom of Saudi Arabi","['RiyadhSeason', 'ValentinesDay2022']","an unforgettable night  #RiyadhSeason 
@elissakh  ♥️ #ValentinesDay2022 https://t.co/0pTq9St1Hm"
54,RiyadhEvents6,Girls Entertainers in Riyadh for your private hotel room.,,"['Riyadh', 'RiyadhSeason', 'riyadhdating', 'Riyadhfullservice', 'riyadhmassage', 'Saudivision2030', 'riyadhgirls']","Arabic Girls in #Riyadh Saudi Arabia 🇸🇦, they come only in your hotel room.
📲 +966 50 858 0323 🍭 🇸🇦
#RiyadhSeason #riyadhdating #Riyadhfullservice #riyadhmassage #Saudivision2030 #riyadhgirls https://t.co/wVpYZH2ylH"
55,ElDokshe,‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏اللهم صل على سيدنا محمد,  🇪🇬اصل السعودية وأفتخر 🇸🇦,"['FlyForLess', 'RiyadhSeason', 'Cairo']","You can now #FlyForLess to #RiyadhSeason starting from EGP 1,999* 
Book now on https://t.co/bm0EO8jGDW and fly to #Cairo to #Riyadh on #flyadeal Saudi Arabia’s Everyday Low Fares airline 🇪🇬✈️🇸🇦
*Seats Limited
*1 way fare includes 7kg carry-on bag, 15kg check-in bag &amp; light meal https://t.co/hj95sUAC64"
56,MaroElissa_,Fan account @elissakh,,"['RiyadhSeason', 'ValentinesDay2022']","an unforgettable night  #RiyadhSeason 
@elissakh  ♥️ #ValentinesDay2022 https://t.co/0pTq9St1Hm"
57,nasser_khalid99,Entertainment is always the best 😁,المملكة العربية السعودية,"['RiyadhSeason', 'SaudiArabia']","The #RiyadhSeason is not limited to entertainment events only, but also to social, cultural and other events that show high national efforts in various fields such as the “Made in #SaudiArabia” exhibition, in which we witnessed the national industries 😍💚 https://t.co/ClfcZP9HwO"
58,missdode2,W,,"['RiyadhSeason', 'ValentinesDay2022']","an unforgettable night  #RiyadhSeason 
@elissakh  ♥️ #ValentinesDay2022 https://t.co/0pTq9St1Hm"
59,Attieh_official,"Status Single | Photography 📷 | Religion is Muslim | Palestine 🇵🇸 | ❤️ Elissa,Nadine Nassib Njam Angelina jolie | Real Madrid Al Ahly","Domiat, Egypt","['RiyadhSeason', 'ValentinesDay2022']","an unforgettable night  #RiyadhSeason 
@elissakh  ♥️ #ValentinesDay2022 https://t.co/0pTq9St1Hm"
60,theSaudiNewsOff,"Saudi & International News In Real Time.

#SaudiArabia #SaudiNews #MiddleEastNews #ArabNews #internationalnews #KSANews #businessnews #lifestyle #culture",,['RiyadhSeason'],"#RiyadhSeason has attracted more than 11 million people since it launched last November, with tourists from 125 countries among the visitors. https://t.co/7RWOYHIZVT"
61,alriyadhdaily,First English daily published from the Saudi capital.. contact us: RD@alriyadhdaily.com,Saudi Arabia,"['RiyadhSeason', 'GuinnessWorldRecords']","#RiyadhSeason Entertainment Program Achieves Four #GuinnessWorldRecords  
-
https://t.co/Skzq6TKAAY https://t.co/f4knX5pojW"
62,rashidhasanuni,"Be the voice for those who can't speak

✍Sr. Correspondent @arabnews 
✍Former Correspondent @uniindianews
✍Former Reporter @DDNewslive
✍P.G Dip Journalism @YMCA","الرياض, المملكة العربية السعود",['RiyadhSeason'],"@RiyadhSeason has attracted more than 11 million people since it launched last November, with tourists from 125 countries among the visitors. 
@GEA_SA

#RiyadhSeason visitors cross 11 million mark https://t.co/wvCgc4htaR"
63,_SA53_,حسابي الاحتياطي,,"['JoyAwards', 'RiyadhSeason']","Definition of a joyful night… Thank you for having me #JoyAwards
@CelineDagher_
@BassamFattouh 
@GElMendelek 
#RiyadhSeason https://t.co/J3ULCdtalW"
64,KMaster49620335,"New Music Weekly On Our ""Digger"" Playlists & Partners With @rockedisonmusic 🎸🎸🎸",,"['FlyForLess', 'RiyadhSeason', 'Cairo']","You can now #FlyForLess to #RiyadhSeason starting from EGP 1,999* 
Book now on https://t.co/bm0EO8jGDW and fly to #Cairo to #Riyadh on #flyadeal Saudi Arabia’s Everyday Low Fares airline 🇪🇬✈️🇸🇦
*Seats Limited
*1 way fare includes 7kg carry-on bag, 15kg check-in bag &amp; light meal https://t.co/hj95sUAC64"
